frame_no,queue_density,dynamic_density
4781,0.0704419,0.203009
4786,0.0414693,0.145079
4791,0.0192128,0.0710363
4796,0.00514813,0.0341778
4801,0.000871712,0.00763328
4806,0.000693771,0.0494096
4811,0.000596735,0.139669
4816,0.00126088,0.0944879
4821,0.00108575,0.0688461
4826,0.00179973,0.0756784
4831,0.00154526,0.0993955
4836,0.00150425,0.0113217
4841,0.00186629,0.0107367
4846,0.00197186,0.00415746
4851,0.00212468,0.00821572
4856,0.00223056,0.0299269
4861,0.0018311,0.00695457
4866,0.00147025,0.0137095
4871,0.00124359,0.00403697
4876,0.00123121,0.00288676
4881,0.00102351,0.0663392
4886,0.00106307,0.00314864
4891,0.00118053,0.00793228
4896,0.00488073,0.00696305
4901,0.00708972,0.00974979
4906,0.00447592,0.0124071
4911,0.00318668,0.0100763
4916,0.0283058,0.0420173
4921,0.0422683,0.0806557
4926,0.077294,0.12173
4931,0.0933804,0.160916
4936,0.107163,0.18611
4941,0.116031,0.209252
4946,0.113827,0.18359
4951,0.0981705,0.170424
4956,0.089551,0.173253
4961,0.0774963,0.159502
4966,0.0814579,0.108474
4971,0.0902344,0.15082
4976,0.0852657,0.188247
4981,0.0868006,0.130914
4986,0.0921439,0.205343
4991,0.0999913,0.209291
4996,0.103906,0.155044
5001,0.0930087,0.19655
5006,0.0862538,0.172397
5011,0.0598021,0.098332
5016,0.0354171,0.058545
5021,0.0252418,0.0713753
5026,0.0129576,0.0476476
5031,0.0148529,0.0464505
5036,0.0173426,0.0428048
5041,0.0262284,0.0687348
5046,0.0506998,0.0928294
5051,0.0846965,0.0980791
5056,0.120298,0.113187
5061,0.156175,0.150607
5066,0.192285,0.200268
5071,0.217543,0.205243
5076,0.238128,0.222615
5081,0.222376,0.217799
5086,0.200227,0.203246
5091,0.177756,0.221582
5096,0.165008,0.183741
5101,0.133188,0.217436
5106,0.0935371,0.211511
5111,0.0781684,0.17433
5116,0.0551019,0.117415
5121,0.0273869,0.0565599
5126,0.00275728,0.0138332
5131,0.00155661,0.0405746
5136,0.00140741,0.134097
5141,0.00121103,0.0610413
5146,0.0011058,0.0519723
5151,0.00110212,0.062333
5156,0.00136775,0.127144
5161,0.00132865,0.103306
5166,0.00118011,0.148431
