time_sec,queue_density,dynamic_density
217.067,0.711125,0.0275158
217.4,0.713158,0.0201309
217.733,0.7092,0.0203004
218.067,0.713083,0.0289938
218.4,0.721723,0.0266054
218.733,0.755786,0.0528027
219.067,0.754336,0.0127189
219.4,0.753237,0.0241047
219.733,0.751223,0.0260593
220.067,0.75064,0.0379468
220.4,0.75644,0.0672633
220.733,0.753974,0.040617
221.067,0.759101,0.0413387
221.4,0.757433,0.0543079
221.733,0.755958,0.0489811
222.067,0.751307,0.107189
222.4,0.748625,0.0652649
222.733,0.745389,0.0572669
223.067,0.743365,0.0540106
223.4,0.743554,0.057981
223.733,0.73725,0.069212
224.067,0.734105,0.0542819
224.4,0.733631,0.0431334
224.733,0.736405,0.0288005
225.067,0.73843,0.0283603
225.4,0.738818,0.0918504
225.733,0.736298,0.0200779
226.067,0.739441,0.0393613
226.4,0.742623,0.0208296
226.733,0.740804,0.0252755
227.067,0.728698,0.0569443
227.4,0.727107,0.0342872
227.733,0.727896,0.0290609
228.067,0.731271,0.0545514
228.4,0.735127,0.0318756
228.733,0.79534,0.18584
229.067,0.79675,0.0392653
229.4,0.803866,0.0260235
229.733,0.809939,0.031455
230.067,0.81044,0.0437962
230.4,0.812405,0.151397
230.733,0.811535,0.030789
231.067,0.811671,0.0239258
231.4,0.812213,0.0234195
231.733,0.812416,0.0257742
232.067,0.809074,0.118839
232.4,0.811704,0.0336868
232.733,0.810528,0.0508845
233.067,0.816866,0.0276795
233.4,0.818078,0.0411897
233.733,0.815646,0.0937777
234.067,0.814966,0.0422447
234.4,0.814961,0.0619038
234.733,0.816785,0.0991172
235.067,0.817778,0.04671
235.4,0.81429,0.230533
235.733,0.814692,0.11032
236.067,0.815192,0.0175316
236.4,0.815874,0.0289024
236.733,0.815681,0.0178019
237.067,0.816406,0.0603961
237.4,0.816362,0.0196317
237.733,0.80723,0.0721852
238.067,0.807385,0.0617542
238.4,0.809953,0.0411529
238.733,0.813299,0.0263061
239.067,0.813501,0.0233218
239.4,0.807529,0.0528576
239.733,0.809032,0.0387823
240.067,0.809384,0.0236179
240.4,0.811071,0.0133585
240.733,0.811121,0.0124482
241.067,0.803283,0.038644
241.4,0.801752,0.0371174
241.733,0.803654,0.0437239
242.067,0.813307,0.0482386
242.4,0.813864,0.0449692
242.733,0.80444,0.0471959
243.067,0.802326,0.0419496
243.4,0.804301,0.0401137
243.733,0.805536,0.030395
244.067,0.807203,0.0260353
244.4,0.805295,0.0556151
244.733,0.806148,0.0362346
245.067,0.807771,0.0343032
245.4,0.810008,0.0364638
245.733,0.810201,0.0273438
246.067,0.809907,0.0620257
246.4,0.809576,0.0810211
246.733,0.809637,0.0856974
247.067,0.809822,0.078677
247.4,0.810327,0.0644758
247.733,0.808496,0.115414
248.067,0.807003,0.0705554
248.4,0.806689,0.0816487
248.733,0.812002,0.0746333
249.067,0.812649,0.079908
249.4,0.804974,0.131131
249.733,0.806711,0.114842
250.067,0.807665,0.0716272
250.4,0.809254,0.00893533
250.733,0.805733,0.0106367
251.067,0.792233,0.0753069
251.4,0.793148,0.0296582
251.733,0.794908,0.0440476
252.067,0.797328,0.0418582
252.4,0.799636,0.0355173
252.733,0.799141,0.0829806
253.067,0.795912,0.0343737
253.4,0.793725,0.0711588
253.733,0.810667,0.0786309
254.067,0.81798,0.0862223
254.4,0.82992,0.08933
254.733,0.83041,0.0188093
255.067,0.830931,0.0181896
255.4,0.831323,0.0173488
255.733,0.831139,0.0254239
256.067,0.828537,0.0393973
256.4,0.828733,0.0282021
256.733,0.82829,0.0253809
257.067,0.828043,0.0287647
257.4,0.827898,0.0510455
257.733,0.827138,0.0767612
258.067,0.827698,0.047369
258.4,0.828415,0.0357384
258.733,0.827969,0.0420226
259.067,0.827181,0.034544
259.4,0.827107,0.0667118
259.733,0.828082,0.0547232
260.067,0.827334,0.0576264
260.4,0.826903,0.0391629
260.733,0.82457,0.0301232
261.067,0.826821,0.0526364
261.4,0.827197,0.0252801
261.733,0.826999,0.0311673
262.067,0.827984,0.0277596
262.4,0.828302,0.0218186
262.733,0.827463,0.0785866
263.067,0.827538,0.0171085
263.4,0.828055,0.0481976
263.733,0.828897,0.0414412
264.067,0.828882,0.0304109
264.4,0.829254,0.0489508
264.733,0.828823,0.052375
265.067,0.827667,0.0173296
265.4,0.826248,0.0181927
265.733,0.827671,0.0228489
266.067,0.828957,0.0531019
266.4,0.82904,0.127878
266.733,0.829497,0.0398743
267.067,0.829046,0.0876311
267.4,0.829037,0.0152859
267.733,0.828677,0.0763153
268.067,0.828937,0.0242393
268.4,0.828899,0.0162692
268.733,0.82909,0.0318535
269.067,0.829369,0.0220379
269.4,0.823841,0.0549039
269.733,0.826749,0.0520002
270.067,0.82572,0.0973026
270.4,0.82736,0.0484355
270.733,0.828199,0.0225354
271.067,0.828634,0.0573791
271.4,0.828643,0.036293
271.733,0.82883,0.0343508
272.067,0.829112,0.0259187
